itter,avg,del
92.000000,0,254.045654
1.646240,50,241.573959
0.881058,100,235.561508
0.644608,150,230.988373
0.543198,200,227.167603
0.459152,250,223.832031
0.389694,300,220.844452
0.332062,350,218.122849
0.300171,400,215.613556
0.273697,450,213.278915
0.251144,500,211.091370
0.231995,550,209.029999
0.215363,600,207.078339
0.200897,650,205.223312
0.188324,700,203.454254
0.177368,750,201.762238
0.167664,800,200.139832
0.159058,850,198.580734
0.151413,900,197.079468
0.144531,950,195.631348
0.138290,1000,194.232300
0.132584,1050,192.878647
0.127396,1100,191.567261
0.122589,1150,190.295258
0.118103,1200,189.060120
0.113922,1250,187.859558
0.110001,1300,186.691528
0.106339,1350,185.554169
0.102890,1400,184.445724
0.099686,1450,183.364716
0.096634,1500,182.309692
0.093750,1550,181.279388
0.091034,1600,180.272568
0.088470,1650,179.288147
0.086075,1700,178.325073
0.083755,1750,177.382477
0.081589,1800,176.459381
0.079529,1850,175.555023
0.077560,1900,174.668625
0.075714,1950,173.799484
0.073914,2000,172.946945
0.072235,2050,172.110336
0.070633,2100,171.289108
0.069122,2150,170.482697
0.067688,2200,169.690582
0.066315,2250,168.912292
0.064972,2300,168.147369
0.063721,2350,167.395340
0.062515,2400,166.655838
0.061340,2450,165.928467
0.060211,2500,165.212830
0.059189,2550,164.508606
0.058136,2600,163.815475
0.057114,2650,163.133087
0.056198,2700,162.461151
0.055267,2750,161.799423
0.054367,2800,161.147583
0.053528,2850,160.505417
0.052734,2900,159.872620
0.051910,2950,159.249023
0.051147,3000,158.634369
0.050400,3050,158.028427
0.049698,3100,157.431030
